iter	Passed	Remaining
374	706	1176
375	708	1175
376	710	1174
377	713	1173
378	713	1169
379	714	1166
380	716	1164
381	718	1162
382	719	1159
383	721	1157
384	723	1155
385	725	1153
386	726	1150
387	728	1149
388	730	1147
389	732	1145
390	734	1144
391	737	1143
392	739	1142
393	742	1142
394	745	1141
395	746	1139
396	748	1137
397	751	1136
398	753	1134
399	755	1132
400	757	1131
401	760	1130
402	762	1128
403	764	1128
404	766	1126
405	768	1124
406	770	1122
407	773	1121
408	775	1121
409	777	1118
410	779	1117
411	782	1116
412	784	1114
413	784	1111
414	787	1110
415	790	1109
416	792	1107
417	794	1105
418	796	1104
419	798	1102
420	800	1101
421	802	1099
422	804	1097
423	806	1095
424	808	1093
425	810	1091
426	812	1089
427	813	1087
428	815	1085
429	816	1082
430	819	1081
431	820	1079
432	823	1078
433	825	1076
434	827	1074
435	829	1072
436	831	1071
437	833	1069
438	835	1068
439	838	1067
440	840	1065
441	842	1063
442	844	1061
443	846	1059
444	847	1057
445	849	1055
446	851	1054
447	853	1051
448	854	1048
449	855	1045
450	856	1042
451	857	1039
452	858	1036
453	859	1033
454	860	1030
455	861	1027
456	863	1025
457	864	1022
458	866	1020
459	868	1019
460	870	1017
461	872	1016
462	874	1014
463	876	1012
464	877	1010
465	879	1008
466	881	1006
467	884	1005
468	886	1003
469	888	1002
470	891	1000
471	893	999
472	895	997
473	897	995
474	899	993
475	901	992
476	903	990
477	906	989
478	907	987
479	909	985
480	911	983
481	914	982
482	916	980
483	918	978
484	920	977
485	921	974
486	923	972
487	925	970
488	927	969
489	929	967
490	932	966
491	934	964
492	936	962
493	938	961
494	941	960
495	943	958
496	945	956
497	947	955
498	949	953
499	952	952
500	954	951
501	956	949
502	959	948
503	960	945
504	963	944
505	965	942
506	967	940
507	969	939
508	971	937
509	973	935
510	976	934
511	977	931
512	979	929
513	980	927
514	982	925
515	984	923
516	986	921
517	988	919
518	991	918
519	993	916
520	995	915
521	997	913
522	999	911
523	1001	909
524	1003	907
525	1005	906
526	1008	905
527	1010	903
528	1012	901
529	1014	899
530	1016	898
531	1018	896
532	1020	893
533	1023	892
534	1024	890
535	1027	889
536	1030	888
537	1031	886
538	1033	884
539	1035	882
540	1037	880
541	1038	877
542	1041	876
543	1042	874
544	1045	872
545	1046	870
546	1047	867
547	1048	864
548	1050	863
549	1053	861
550	1054	859
551	1057	858
552	1059	856
553	1061	854
554	1064	853
555	1065	851
556	1068	849
557	1071	848
558	1073	846
559	1075	844
560	1077	843
561	1079	841
562	1082	840
563	1084	837
564	1085	835
565	1086	833
566	1088	831
567	1090	829
568	1093	828
569	1095	826
570	1096	824
571	1098	822
572	1101	820
573	1103	818
574	1105	816
575	1106	814
576	1108	812
577	1109	810
578	1110	807
579	1111	805
580	1112	802
581	1113	799
582	1115	797
583	1116	795
584	1117	792
585	1118	790
586	1119	787
587	1120	784
588	1122	783
589	1124	781
590	1125	778
591	1127	776
592	1128	774
593	1130	772
594	1132	770
595	1134	769
596	1137	767
597	1139	765
598	1140	763
599	1143	762
600	1145	760
601	1147	758
602	1149	756
603	1151	754
604	1153	752
605	1154	750
606	1156	748
607	1159	747
608	1161	745
609	1163	744
610	1164	741
611	1167	740
612	1169	738
613	1171	736
614	1173	734
615	1175	732
616	1177	730
617	1178	728
618	1180	726
619	1182	724
620	1184	722
621	1187	721
622	1189	720
623	1191	718
624	1193	716
625	1196	714
626	1198	712
627	1199	710
628	1201	708
629	1202	706
630	1205	705
631	1206	702
632	1208	700
633	1210	698
634	1212	696
635	1213	694
636	1215	692
637	1218	691
638	1220	689
639	1223	688
640	1225	686
641	1227	684
642	1229	682
643	1230	680
644	1232	678
645	1234	676
646	1237	675
647	1239	673
648	1242	671
649	1244	669
650	1246	668
651	1248	666
652	1250	664
653	1252	662
654	1254	660
655	1256	658
656	1257	656
657	1259	654
658	1262	653
659	1264	651
660	1266	649
661	1267	647
662	1270	645
663	1271	643
664	1273	641
665	1275	639
666	1277	637
667	1280	636
668	1281	634
669	1284	632
670	1287	631
671	1289	629
672	1291	627
673	1293	625
674	1295	623
675	1297	621
676	1299	619
677	1301	617
678	1302	615
679	1304	614
680	1307	612
681	1309	610
682	1311	608
683	1314	607
684	1315	605
685	1317	603
686	1319	601
687	1322	599
688	1324	597
689	1325	595
690	1327	593
691	1329	591
692	1331	589
693	1333	587
694	1336	586
695	1338	584
696	1340	582
697	1342	580
698	1344	578
699	1346	576
700	1348	574
701	1349	573
702	1352	571
703	1354	569
704	1356	567
705	1358	565
706	1360	563
707	1363	562
708	1365	560
709	1367	558
710	1368	556
711	1369	554
712	1370	551
713	1372	549
714	1372	547
715	1374	545
716	1375	542
717	1376	540
718	1377	538
719	1378	535
720	1379	533
721	1381	531
722	1382	529
723	1384	527
724	1386	525
725	1388	524
726	1390	522
727	1394	520
728	1396	519
729	1397	517
730	1398	514
731	1400	512
732	1402	510
733	1404	508
734	1406	507
735	1407	504
736	1409	502
737	1411	500
738	1413	499
739	1414	497
740	1416	495
741	1417	492
742	1419	491
743	1421	489
744	1424	487
745	1425	485
746	1427	483
747	1429	481
748	1431	479
749	1433	477
750	1435	476
751	1437	474
752	1439	472
753	1441	470
754	1443	468
755	1445	466
756	1447	464
757	1449	462
758	1451	460
759	1454	459
760	1455	457
761	1458	455
762	1460	453
763	1462	451
764	1463	449
765	1465	447
766	1468	446
767	1470	444
768	1474	442
769	1475	440
770	1477	438
771	1479	436
772	1482	435
773	1484	433
774	1486	431
775	1488	429
776	1490	427
777	1491	425
778	1493	423
779	1495	421
780	1497	419
781	1499	417
782	1500	415
783	1503	414
784	1505	412
785	1508	410
786	1509	408
787	1511	406
788	1513	404
789	1515	402
790	1517	400
791	1519	398
792	1521	397
793	1523	395
794	1525	393
795	1527	391
796	1528	389
797	1530	387
798	1533	385
799	1534	383
800	1536	381
801	1539	380
802	1540	377
803	1541	375
804	1542	373
805	1543	371
806	1544	369
807	1545	367
808	1547	365
809	1550	363
810	1551	361
811	1554	359
812	1556	358
813	1558	356
814	1560	354
815	1562	352
816	1564	350
817	1566	348
818	1568	346
819	1570	344
820	1571	342
821	1573	340
822	1575	338
823	1576	336
824	1578	334
825	1581	333
826	1582	331
827	1584	329
828	1585	327
829	1588	325
830	1590	323
831	1591	321
832	1593	319
833	1596	317
834	1598	315
835	1600	313
836	1602	312
837	1604	310
838	1606	308
839	1608	306
840	1611	304
841	1613	302
842	1615	300
843	1616	298
844	1618	296
845	1620	294
846	1622	293
847	1625	291
848	1627	289
849	1629	287
850	1632	285
851	1634	283
852	1636	282
853	1639	280
854	1641	278
855	1642	276
856	1645	274
857	1647	272
858	1648	270
859	1649	268
860	1650	266
861	1651	264
862	1653	262
863	1654	260
864	1655	258
865	1656	256
866	1657	254
867	1659	252
868	1661	250
869	1664	248
870	1666	246
871	1668	244
872	1670	242
873	1672	241
874	1673	239
875	1676	237
876	1679	235
877	1681	233
878	1683	231
879	1684	229
880	1686	227
881	1689	226
882	1691	224
883	1694	222
884	1696	220
885	1698	218
886	1700	216
887	1702	214
888	1704	212
889	1706	210
890	1709	209
891	1712	207
892	1714	205
893	1716	203
894	1718	201
895	1721	199
896	1723	197
897	1725	196
898	1728	194
899	1730	192
900	1732	190
901	1734	188
902	1736	186
903	1739	184
904	1741	182
905	1743	180
906	1745	178
907	1747	177
908	1750	175
909	1752	173
910	1754	171
911	1756	169
912	1758	167
913	1760	165
914	1763	163
915	1764	161
916	1765	159
917	1766	157
918	1767	155
919	1768	153
920	1770	151
921	1771	149
922	1772	147
923	1774	145
924	1775	143
925	1777	142
926	1778	140
927	1779	138
928	1780	136
929	1781	134
930	1782	132
931	1783	130
932	1784	128
933	1785	126
934	1787	124
935	1788	122
936	1790	120
937	1790	118
938	1792	116
939	1793	114
940	1794	112
941	1795	110
942	1796	108
943	1797	106
944	1799	104
945	1801	102
946	1803	100
947	1805	99
948	1806	97
949	1807	95
950	1809	93
951	1812	91
952	1814	89
953	1816	87
954	1818	85
955	1820	83
956	1822	81
957	1824	80
958	1826	78
959	1827	76
960	1830	74
961	1832	72
962	1834	70
963	1836	68
964	1838	66
965	1841	64
966	1842	62
967	1843	60
968	1845	59
969	1847	57
970	1849	55
971	1852	53
972	1854	51
973	1856	49
974	1857	47
975	1859	45
976	1861	43
977	1863	41
978	1865	40
979	1867	38
980	1870	36
981	1872	34
982	1875	32
983	1877	30
984	1879	28
985	1882	26
986	1884	24
987	1887	22
988	1890	21
989	1892	19
990	1894	17
991	1896	15
992	1898	13
993	1900	11
994	1902	9
995	1903	7
996	1905	5
997	1907	3
998	1908	1
999	1909	0
