iter	RMSE
334	1.734820961
335	1.731294574
336	1.729556598
337	1.726518736
338	1.725091496
339	1.723925824
340	1.720186198
341	1.718800877
342	1.716449917
343	1.71347897
344	1.710504362
345	1.709761138
346	1.706103269
347	1.702510059
348	1.699337446
349	1.697088634
350	1.693514768
351	1.69115676
352	1.689853405
353	1.688190231
354	1.685043572
355	1.681259566
356	1.677362166
357	1.673655311
358	1.670637046
359	1.668939777
360	1.665272744
361	1.662398701
362	1.65986614
363	1.657006651
364	1.654853081
365	1.652514079
366	1.64914959
367	1.645594648
368	1.642030963
369	1.639509387
370	1.635736626
371	1.632899787
372	1.630508214
373	1.62737635
374	1.624262775
375	1.621720419
376	1.62055061
377	1.61968631
378	1.61773379
379	1.616976411
380	1.615977209
381	1.613490364
382	1.611560447
383	1.608633826
384	1.6056167
385	1.602485075
386	1.601074301
387	1.59806627
388	1.595041343
389	1.59217588
390	1.589943347
391	1.586676945
392	1.585611311
393	1.584915566
394	1.58199318
395	1.57983205
396	1.577319892
397	1.575251785
398	1.573176653
399	1.570486376
400	1.56873879
401	1.565808882
402	1.563309271
403	1.561047256
404	1.558970363
405	1.55544324
406	1.552235807
407	1.550615904
408	1.547850273
409	1.545734732
410	1.543531149
411	1.540723351
412	1.537382579
413	1.536011606
414	1.534009103
415	1.531872575
416	1.529872655
417	1.527291893
418	1.526708353
419	1.525180713
420	1.524491484
421	1.521916242
422	1.519664511
423	1.518772
424	1.51669199
425	1.514011549
426	1.511278655
427	1.509030684
428	1.506849409
429	1.503954682
430	1.501615435
431	1.501064163
432	1.499242735
433	1.496581634
434	1.496011718
435	1.493231334
436	1.491931904
437	1.491401561
438	1.489549124
439	1.48894708
440	1.486361314
441	1.483724307
442	1.480798226
443	1.478858066
444	1.476934761
445	1.475464632
446	1.474808034
447	1.472862088
448	1.470732972
449	1.467935762
450	1.467145504
451	1.466624042
452	1.464032261
453	1.461551158
454	1.459694709
455	1.457857641
456	1.456133292
457	1.454949315
458	1.453049524
459	1.451663155
460	1.449126013
461	1.446563807
462	1.444791078
463	1.443255169
464	1.441510657
465	1.440879742
466	1.439405693
467	1.436906581
468	1.434451697
469	1.432156163
470	1.431081233
471	1.429509568
472	1.427382876
473	1.425468192
474	1.424837954
475	1.423605346
476	1.421657723
477	1.41951189
478	1.416433845
479	1.413965852
480	1.413393735
481	1.411540045
482	1.410383391
483	1.408422261
484	1.406676248
485	1.405781637
486	1.403546047
487	1.401754628
488	1.400163588
489	1.397455209
490	1.395666193
491	1.394082643
492	1.392073207
493	1.389914842
494	1.388667816
495	1.386473176
496	1.38428831
497	1.382679494
498	1.382032785
499	1.380158691
500	1.377811603
501	1.375917479
502	1.374257323
503	1.372231405
504	1.371247016
505	1.370733815
506	1.369422512
507	1.367822065
508	1.367028809
509	1.364252292
510	1.363145208
511	1.36103084
512	1.359549541
513	1.358197716
514	1.35639761
515	1.35490454
516	1.353160519
517	1.350720798
518	1.34858369
519	1.347439109
520	1.345632551
521	1.343316528
522	1.340961601
523	1.339320679
524	1.338313608
525	1.336966687
526	1.335074483
527	1.3340587
528	1.332799694
529	1.331283785
530	1.329487154
531	1.327453297
532	1.326623805
533	1.325196205
534	1.323272897
535	1.322793453
536	1.321837456
537	1.320532208
538	1.318940105
539	1.316103718
540	1.313868056
541	1.311732988
542	1.309820159
543	1.309029348
544	1.308083867
545	1.30629849
546	1.303967303
547	1.301724067
548	1.299337437
549	1.298799641
550	1.29643322
551	1.294238039
552	1.292243312
553	1.290320871
554	1.288545335
555	1.287371463
556	1.286415021
557	1.2851927
558	1.282956708
559	1.28138185
560	1.279274324
561	1.277083329
562	1.275546567
563	1.273511116
564	1.271954786
565	1.270432777
566	1.269920165
567	1.268699574
568	1.266430921
569	1.265220772
570	1.263036808
571	1.26158066
572	1.260066481
573	1.259324767
574	1.258213445
575	1.25676963
576	1.255691157
577	1.254561914
578	1.252894949
579	1.251076655
580	1.250622659
581	1.249189462
582	1.248104094
583	1.246530063
584	1.245969344
585	1.245147254
586	1.243679627
587	1.2424049
588	1.241668484
589	1.239344823
590	1.238225451
591	1.236321708
592	1.235315658
593	1.234242424
594	1.233770135
595	1.232450511
596	1.2303576
597	1.229327123
598	1.228849999
599	1.227987441
600	1.226031466
601	1.223963329
602	1.222333265
603	1.220948813
604	1.219213175
605	1.217142095
606	1.215641974
607	1.215227674
608	1.214262917
609	1.212358025
610	1.211293105
611	1.209954711
612	1.20949509
613	1.208781404
614	1.2078636
615	1.206165841
616	1.204934869
617	1.204245139
618	1.202164698
619	1.199992209
620	1.198307789
621	1.197183711
622	1.196869656
623	1.195178079
624	1.193229747
625	1.191660893
626	1.189848365
627	1.188406343
628	1.186895518
629	1.186558071
630	1.185320781
631	1.18335039
632	1.182084665
633	1.18174924
634	1.180484474
635	1.17987576
636	1.178275463
637	1.176808136
638	1.175662338
639	1.174209619
640	1.172982991
641	1.171201899
642	1.170105459
643	1.169574172
644	1.16927242
645	1.168932493
646	1.168032484
647	1.166272508
648	1.165862729
649	1.165556184
650	1.163779965
651	1.163378622
652	1.161857898
653	1.161573845
654	1.160136222
655	1.158923075
656	1.157313121
657	1.156702175
658	1.154729703
659	1.153706042
660	1.152162946
661	1.150661972
662	1.150257114
663	1.148713852
664	1.147453172
665	1.146197421
666	1.1450266
667	1.143676177
668	1.142545887
669	1.141536299
670	1.140708608
671	1.139385783
672	1.138815382
673	1.138536773
674	1.137099527
675	1.135480931
676	1.13454256
677	1.132548238
678	1.131145195
679	1.130852526
680	1.130417167
681	1.128948457
682	1.127648655
683	1.126929503
684	1.125593284
685	1.124356945
686	1.123539793
687	1.12325329
688	1.121697506
689	1.119970241
690	1.118340385
691	1.117957104
692	1.117596779
693	1.116145385
694	1.115215779
695	1.114003824
696	1.112685624
697	1.111356498
698	1.109412994
699	1.108008638
700	1.106826615
701	1.105594083
702	1.104685549
703	1.103170582
704	1.102084182
705	1.101675199
706	1.100083896
707	1.09971051
708	1.098204559
709	1.097239488
710	1.096064675
711	1.09461162
712	1.094363778
713	1.09321377
714	1.092526903
715	1.09038111
716	1.090009344
717	1.088905338
718	1.088480703
719	1.087045932
720	1.086512767
721	1.085146406
722	1.083791861
723	1.083274638
724	1.081999939
725	1.081310092
726	1.080032414
727	1.078984729
728	1.078569986
729	1.077541293
730	1.077072117
731	1.076811009
732	1.076073848
733	1.075004793
734	1.073228762
735	1.071609468
736	1.070750845
737	1.069178494
738	1.068474025
739	1.067383914
740	1.066649723
741	1.065032704
742	1.063838409
743	1.062913739
744	1.061886138
745	1.06064783
746	1.059520927
747	1.058378315
748	1.058138488
749	1.05770214
750	1.057272871
751	1.056471321
752	1.055137242
753	1.053927154
754	1.053692137
755	1.052599984
756	1.05238085
757	1.051760852
758	1.051371596
759	1.050353846
760	1.050024342
761	1.049791569
762	1.048672272
763	1.047607689
764	1.046367271
765	1.045904271
766	1.045138305
767	1.043945098
768	1.043714152
769	1.043499033
770	1.042098979
771	1.040879521
772	1.039835167
773	1.039457933
774	1.038274005
775	1.037130019
776	1.036923443
777	1.036624617
778	1.035702015
779	1.035239232
780	1.034689494
781	1.033842759
782	1.03344935
783	1.0322937
784	1.031350504
785	1.030958409
786	1.030740117
787	1.029283953
788	1.02800575
789	1.026891876
790	1.02667357
791	1.02571129
792	1.024462598
793	1.024122628
794	1.022750734
795	1.021297776
796	1.020056957
797	1.018938954
798	1.017730661
799	1.016786046
800	1.01628949
801	1.016091042
802	1.015883341
803	1.015324139
804	1.015109919
805	1.014061296
806	1.013633946
807	1.012422004
808	1.012043799
809	1.010363768
810	1.009175495
811	1.008302163
812	1.007172289
813	1.005904191
814	1.005498168
815	1.004543136
816	1.004340982
817	1.004116895
818	1.00295453
819	1.002101652
820	1.000971884
821	1.000266668
822	0.9991111095
823	0.9981448343
824	0.9969835538
825	0.9965653254
826	0.9957268137
827	0.9948115452
828	0.9935903701
829	0.9925375904
830	0.9914068896
831	0.9903745853
832	0.9901023185
833	0.9892075338
834	0.987852124
835	0.9872093305
836	0.9861639752
837	0.9853705079
838	0.9842380429
839	0.9832289733
840	0.9826162541
841	0.9814792607
842	0.9801582601
843	0.9799437909
844	0.9797570613
845	0.9792258363
846	0.9784830063
847	0.9782789194
848	0.9779139125
849	0.9765859707
850	0.9758110951
851	0.9753746039
852	0.9743419481
853	0.9732310329
854	0.9720534905
855	0.9717114282
856	0.9706863909
857	0.9697481477
858	0.9692132121
859	0.9687352214
860	0.9677792208
861	0.9669430366
862	0.966676897
863	0.9654774184
864	0.9652644427
865	0.9643913135
866	0.9631188618
867	0.9623664581
868	0.9615980581
869	0.9608076728
870	0.9597756227
871	0.9595884256
872	0.9589752318
873	0.9579755842
874	0.9567213643
875	0.9559407885
876	0.9557545956
877	0.9546327358
878	0.9544277321
879	0.9536394685
880	0.9525291972
881	0.9520646458
882	0.9515931598
883	0.9506372394
884	0.9502009385
885	0.9494347319
886	0.9487506552
887	0.9479101871
888	0.9470233998
889	0.9458828989
890	0.9447411826
891	0.9439408721
892	0.9436418587
893	0.9427957923
894	0.9417399122
895	0.9410785236
896	0.9404302239
897	0.9401168276
898	0.9397809225
899	0.9386730423
900	0.9384788391
901	0.9374638388
902	0.9372815578
903	0.9369181779
904	0.9360114696
905	0.9347698257
906	0.9343158293
907	0.933492101
908	0.9332716802
909	0.9329530769
910	0.9319626692
911	0.9308387789
912	0.9304902559
913	0.9297177789
914	0.929532654
915	0.9288304814
916	0.9276229882
917	0.9267952522
918	0.9258124834
919	0.9253178065
920	0.9249722371
921	0.9236424587
922	0.9223949658
923	0.9222214276
924	0.9214040501
925	0.9206357494
926	0.9196351482
927	0.9187028238
928	0.9185241373
929	0.9178650589
930	0.9170527162
931	0.9167553815
932	0.9156044792
933	0.9146138745
934	0.9136942472
935	0.9126273991
936	0.9119883482
937	0.9117933502
938	0.9107428929
939	0.9097778484
940	0.9089445465
941	0.9079291449
942	0.9076781894
943	0.9070154129
944	0.906770306
945	0.9062665721
946	0.9054960454
947	0.9042390956
948	0.9040321813
949	0.9030366452
950	0.9020507063
951	0.9015034316
952	0.9012736492
953	0.9007180498
954	0.8998540214
955	0.8990492153
956	0.8984687868
957	0.8975202792
958	0.8963850082
959	0.8951571765
960	0.8946586708
961	0.8939414341
962	0.8936827865
963	0.8933293416
964	0.8924205056
965	0.8918084436
966	0.891104548
967	0.890092725
968	0.8889976663
969	0.8882476116
970	0.8872484503
971	0.8870844548
972	0.8860278942
973	0.8852702751
974	0.8849789386
975	0.8844590371
976	0.8838257096
977	0.8830705902
978	0.8829011226
979	0.8827463584
980	0.8820479847
981	0.8815709352
982	0.8813982075
983	0.8809008882
984	0.8799420586
985	0.8790944267
986	0.878631229
987	0.877986232
988	0.877178778
989	0.8762028602
990	0.8760559468
991	0.8755330748
992	0.8744875037
993	0.8732164149
994	0.8725923245
995	0.8715188044
996	0.8706986339
997	0.8702856327
998	0.8693913152
999	0.8684831619
